,beds_genandacute_noncovid,ventbeds_noncovid,address,Date,Local Health Board,coordinates,lat,lon
954,697,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",25-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
955,745,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",26-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
956,745,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",27-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
957,728,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",28-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
958,725,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",29-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
959,726,10,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",30-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
960,748,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",31-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
961,764,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",01-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
962,718,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",02-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
963,664,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",03-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
964,720,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",04-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
